Date,Index_Value,Unit,Sequence No.,Industry
2024-09-30,119.5315408,Index,20,Vegetable Ghee
2024-09-30,107.1413023,Index,30,Tea Blended
2024-09-30,74.79541123,Index,40,Cigarettes
2024-09-30,77.52736041,Index,50,Cotton Yarn
2024-09-30,84.35472867,Index,60,Cotton Cloth
2024-09-30,55.08424075,Index,70,Jute Goods
2024-09-30,137.5735789,Index,80,Paper & Board
2024-09-30,106.920298,Index,90,Cement
2024-09-30,69.46828033,Index,100,Automobiles
2024-09-30,120.6400347,Index,110,Fertilizers
2024-08-31,111.4324561,Index,10,Overall
2024-08-31,113.948891,Index,20,Vegetable Ghee
2024-08-31,94.63785572,Index,30,Tea Blended
2024-08-31,59.86323381,Index,40,Cigarettes
2024-08-31,77.50445668,Index,50,Cotton Yarn
2024-08-31,84.33740737,Index,60,Cotton Cloth
2024-08-31,59.54818788,Index,70,Jute Goods
2024-08-31,137.3316351,Index,80,Paper & Board
2024-08-31,97.3357417,Index,90,Cement
2024-08-31,49.65795276,Index,100,Automobiles
2024-08-31,120.4559018,Index,110,Fertilizers
2024-07-31,106.1426442,Index,10,Overall
2024-07-31,113.640516,Index,20,Vegetable Ghee
2024-07-31,91.48587267,Index,30,Tea Blended
2024-07-31,67.06027428,Index,40,Cigarettes
2024-07-31,77.44807827,Index,50,Cotton Yarn
2024-07-31,84.30853853,Index,60,Cotton Cloth
2024-07-31,59.56985752,Index,70,Jute Goods
2024-07-31,122.9408959,Index,80,Paper & Board
2024-07-31,94.82953263,Index,90,Cement
2024-07-31,61.86682652,Index,100,Automobiles
2024-07-31,121.8889134,Index,110,Fertilizers
2024-06-30,108.4632019,Index,10,Overall
2024-06-30,118.6856847,Index,20,Vegetable Ghee
2024-06-30,82.25630905,Index,30,Tea Blended
2024-06-30,54.81857928,Index,40,Cigarettes
2024-06-30,77.40473737,Index,50,Cotton Yarn
2024-06-30,84.23925334,Index,60,Cotton Cloth
2024-06-30,50.1869007,Index,70,Jute Goods
2024-06-30,117.01819,Index,80,Paper & Board
2024-06-30,105.9042673,Index,90,Cement
2024-06-30,65.89908362,Index,100,Automobiles
2024-06-30,106.065257,Index,110,Fertilizers
2024-05-31,113.9684279,Index,10,Overall
2024-05-31,121.5124583,Index,20,Vegetable Ghee
2024-05-31,86.31383419,Index,30,Tea Blended
2024-05-31,91.07282986,Index,40,Cigarettes
2024-05-31,75.35643928,Index,50,Cotton Yarn
2024-05-31,84.16419437,Index,60,Cotton Cloth
2024-05-31,106.2896148,Index,70,Jute Goods
2024-05-31,133.9444218,Index,80,Paper & Board
2024-05-31,112.8132761,Index,90,Cement
2024-05-31,66.69420392,Index,100,Automobiles
2024-05-31,104.442038,Index,110,Fertilizers
2024-04-30,105.9348945,Index,10,Overall
2024-04-30,113.1349358,Index,20,Vegetable Ghee
2024-04-30,97.51121044,Index,30,Tea Blended
2024-04-30,69.5713912,Index,40,Cigarettes
2024-04-30,73.77255834,Index,50,Cotton Yarn
2024-04-30,84.12377801,Index,60,Cotton Cloth
2024-04-30,74.6952706,Index,70,Jute Goods
2024-04-30,113.743097,Index,80,Paper & Board
2024-04-30,88.25920072,Index,90,Cement
2024-04-30,54.4736394,Index,100,Automobiles
2024-04-30,111.041471,Index,110,Fertilizers
2024-03-31,115.1473985,Index,10,Overall
2024-03-31,117.2143786,Index,20,Vegetable Ghee
2024-03-31,107.7333875,Index,30,Tea Blended
2024-03-31,80.96110011,Index,40,Cigarettes
2024-03-31,73.66191571,Index,50,Cotton Yarn
2024-03-31,83.83508968,Index,60,Cotton Cloth
2024-03-31,95.82317569,Index,70,Jute Goods
2024-03-31,138.4489041,Index,80,Paper & Board
2024-03-31,115.3194852,Index,90,Cement
2024-03-31,56.75254291,Index,100,Automobiles
2024-03-31,122.1566903,Index,110,Fertilizers
2024-02-29,127.0265785,Index,10,Overall
2024-02-29,120.4141311,Index,20,Vegetable Ghee
2024-02-29,96.58825407,Index,30,Tea Blended
